,etablissement,categorie,code,specialite,provenance,effectif_transfert
206,SA MAISON DE JOUVENCE,Privé ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL LE BOCAGE CHRU DIJON,16
207,SA MAISON DE JOUVENCE,Privé ,X08 ,Pneumologie ,HOPITAL LE BOCAGE CHRU DIJON,34
208,SA MAISON DE JOUVENCE,Privé ,X03 ,Neurologie médicale ,HOPITAL LE BOCAGE CHRU DIJON,15
209,SA MAISON DE JOUVENCE,Privé ,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",HOPITAL LE BOCAGE CHRU DIJON,16
210,SA MAISON DE JOUVENCE,Privé ,C02 ,"Chirugie du rachis, Neuro-chirurgie ",HOPITAL LE BOCAGE CHRU DIJON,17
211,SA MAISON DE JOUVENCE,Privé ,X07 ,Affections Cardio-vasculaires ,HOPITAL LE BOCAGE CHRU DIJON,22
212,SA MAISON DE JOUVENCE,Privé ,X02 ,Hépato-Gastro-Entérologie ,HOPITAL LE BOCAGE CHRU DIJON,14
213,SA MAISON DE JOUVENCE,Privé ,X12 ,Uro-Néphrologie médicale (hors Séances),HOPITAL LE BOCAGE CHRU DIJON,13
214,SA MAISON DE JOUVENCE,Privé ,X23,Chimiothérapie (hors séances),CENTRE GEORGE-FRANCOIS LECLERC,21
215,CH D'AUXONNE,CH ,X08 ,Pneumologie ,HOPITAL LE BOCAGE CHRU DIJON,12
216,CH D'IS-SUR-TILLE,CH ,X02 ,Hépato-Gastro-Entérologie ,HOPITAL LE BOCAGE CHRU DIJON,11
217,CENTRE MEDICAL LA GRANGE/MONT,PSPH/EBNL,C05,"Chir. majeure sur le thorax, l'app. respiratoire,
interventions sous thoracoscopie",HOPITAL LE BOCAGE CHRU DIJON,14
218,CH DE CHAUMONT,CH,X03 ,Neurologie médicale ,CH DE CHAUMONT,45
219,CH DE CHAUMONT,CH,X06 ,Rhumatologie ,CH DE CHAUMONT,30
220,CH DE CHAUMONT,CH,X08,Pneumologie ,CH DE CHAUMONT,24
221,CH DE CHAUMONT,CH,X24,"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux",CH DE CHAUMONT,24
222,CH DE CHAUMONT,CH,X05 ,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH DE CHAUMONT,12
223,CH DE CHAUMONT,CH,X20 ,Psychiatrie ,CH DE CHAUMONT,11
224,CH DE LANGRES,CH ,X03 ,Neurologie médicale ,CH DE LANGRES,43
225,CH DE LANGRES,CH ,X08,Pneumologie ,CH DE LANGRES,31
226,CH DE LANGRES,CH ,X24,"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux",CH DE LANGRES,25
227,CH DE LANGRES,CH ,X07,Affections Cardio-vasculaires ,CH DE LANGRES,18
228,CH DE LANGRES,CH ,X20 ,Psychiatrie ,CH DE LANGRES,17
229,CH DE LANGRES,CH ,X12 ,Uro-Néphrologie médicale (hors Séances),CH DE LANGRES,14
230,CH HCO SITE DE CHATILLON SUR SEINE,CH,X07 ,Affections Cardio-vasculaires ,CH HCO SITE DE CHATILLON SUR SEINE,14
231,CH HCO SITE DE CHATILLON SUR SEINE,CH,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH ROBERT MORLEVAT,30
232,CH HCO SITE DE MONTBARD,CH ,C04 ,"Chir. cardio-thoracique (hors transplant. d'organe), 
Pontages aorto-coronariens",HOPITAL LE BOCAGE CHRU DIJON,12
233,CH HCO SITE DE MONTBARD,CH ,X07 ,Affections Cardio-vasculaires ,CH HCO SITE DE MONTBARD,77
234,CH HCO SITE DE MONTBARD,CH ,X08,Pneumologie ,CH HCO SITE DE MONTBARD,43
235,CH HCO SITE DE MONTBARD,CH ,X03,Neurologie médicale ,CH HCO SITE DE MONTBARD,21
236,CH HCO SITE DE MONTBARD,CH ,X06 ,Rhumatologie ,CH HCO SITE DE MONTBARD,22
237,CH HCO SITE DE MONTBARD,CH ,X20 ,Psychiatrie ,CH HCO SITE DE MONTBARD,11
238,CH HCO SITE DE MONTBARD,CH ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH ROBERT MORLEVAT,57
239,CH HCO SITE DE MONTBARD,CH ,X08 ,Pneumologie ,CH ROBERT MORLEVAT,50
240,CH HCO SITE DE MONTBARD,CH ,X07,Affections Cardio-vasculaires ,CH ROBERT MORLEVAT,23
241,CH HCO SITE DE MONTBARD,CH ,X03,Neurologie médicale ,CH ROBERT MORLEVAT,22
242,CH HCO SITE DE MONTBARD,CH ,X12 ,Uro-Néphrologie médicale (hors Séances),CH ROBERT MORLEVAT,13
243,CH HCO SITE DE MONTBARD,CH ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL PRIVE DIJON BOURGOGNE,16
244,CH HCO SITE DE SAULIEU,CH ,X06 ,Rhumatologie ,CH HCO SITE DE SAULIEU,15
245,CH HCO SITE DE SAULIEU,CH ,X05 ,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH HCO SITE DE SAULIEU,15
246,CH HCO SITE DE SAULIEU,CH ,X08,Pneumologie ,CH HCO SITE DE SAULIEU,11
247,CH HCO SITE DE SAULIEU,CH ,X24,"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux",CH HCO SITE DE SAULIEU,13
248,CH HCO SITE DE SAULIEU,CH ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH ROBERT MORLEVAT,26
249,CH HCO SITE DE SAULIEU,CH ,X08 ,Pneumologie ,CH ROBERT MORLEVAT,18
250,CH HCO SITE DE SAULIEU,CH ,X07,Affections Cardio-vasculaires ,CH ROBERT MORLEVAT,16
251,HOSPICES CIVILS DE BEAUNE,CH,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOSPICES CIVILS DE BEAUNE,91
252,HOSPICES CIVILS DE BEAUNE,CH,X03,Neurologie médicale,HOSPICES CIVILS DE BEAUNE,39
253,HOSPICES CIVILS DE BEAUNE,CH,X07 ,Affections Cardio-vasculaires,HOSPICES CIVILS DE BEAUNE,34
254,HOSPICES CIVILS DE BEAUNE,CH,X05,Traumatologie et ablation de matériel de l'appareil locomoteur,HOSPICES CIVILS DE BEAUNE,30
255,HOSPICES CIVILS DE BEAUNE,CH,X08,Pneumologie ,HOSPICES CIVILS DE BEAUNE,28
256,HOSPICES CIVILS DE BEAUNE,CH,X06,Rhumatologie ,HOSPICES CIVILS DE BEAUNE,32
257,HOSPICES CIVILS DE BEAUNE,CH,X02,Hépato-Gastro-Entérologie,HOSPICES CIVILS DE BEAUNE,22
258,HOSPICES CIVILS DE BEAUNE,CH,X12,Uro-Néphrologie médicale (hors Séances),HOSPICES CIVILS DE BEAUNE,18
259,HOSPICES CIVILS DE BEAUNE,CH,X18,"Suivi thérap. d'affections connues, Allergologie,
 Rééducation, Convalescence",HOSPICES CIVILS DE BEAUNE,13
260,HOSPICES CIVILS DE BEAUNE,CH,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",HOSPICES CIVILS DE BEAUNE,11
261,CH LES CHANAUX MACON,CH ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH LES CHANAUX MACON,168
262,CH LES CHANAUX MACON,CH ,X08,Pneumologie ,CH LES CHANAUX MACON,69
263,CH LES CHANAUX MACON,CH ,X03,Neurologie médicale ,CH LES CHANAUX MACON,43
264,CH LES CHANAUX MACON,CH ,X06,Rhumatologie ,CH LES CHANAUX MACON,12
265,CH LES CHANAUX MACON,CH ,X07,Affections Cardio-vasculaires,CH LES CHANAUX MACON,13
266,CH LES CHANAUX MACON,CH ,X05,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH LES CHANAUX MACON,14
267,CH LES CHANAUX MACON,CH ,X02,Hépato-Gastro-Entérologie ,CH LES CHANAUX MACON,12
268,CH LES CHANAUX MACON,CH ,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",CH LES CHANAUX MACON,12
269,KORIAN LE TINAILLER,Privé ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH LES CHANAUX MACON,85
270,KORIAN LE TINAILLER,Privé ,X08,Pneumologie ,CH LES CHANAUX MACON,31
271,KORIAN LE TINAILLER,Privé ,X03,Neurologie médicale ,CH LES CHANAUX MACON,23
272,KORIAN LE TINAILLER,Privé ,X06,Rhumatologie ,CH LES CHANAUX MACON,24
273,KORIAN LE TINAILLER,Privé ,X07,Affections Cardio-vasculaires,CH LES CHANAUX MACON,20
274,KORIAN LE TINAILLER,Privé ,X05,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH LES CHANAUX MACON,21
275,KORIAN LE TINAILLER,Privé ,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",CH LES CHANAUX MACON,13
276,KORIAN LE TINAILLER,Privé ,X16,"Affections et traumatismes de la peau, gelures",CH LES CHANAUX MACON,12
277,KORIAN LE TINAILLER,Privé ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL PRIVE SAINTE MARIE,44
278,KORIAN LE TINAILLER,Privé ,C10 ,"Arthroscopies, Biopsies ostéo-articulaires",HOPITAL PRIVE SAINTE MARIE,28
279,KORIAN LE TINAILLER,Privé ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",POLYCLINIQUE DU VAL DE SAONE,15
280,CH DU CLUNISOIS,CH ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH LES CHANAUX MACON,39
281,CH DU CLUNISOIS,CH ,X08,Pneumologie ,CH LES CHANAUX MACON,20
282,CH DU CLUNISOIS,CH ,X03,Neurologie médicale ,CH LES CHANAUX MACON,18
283,CH DU CLUNISOIS,CH ,X06,Rhumatologie ,CH LES CHANAUX MACON,17
284,CH DU CLUNISOIS,CH ,X07,Affections Cardio-vasculaires,CH LES CHANAUX MACON,11
285,CH DU CLUNISOIS,CH ,X05,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH LES CHANAUX MACON,12
286,CH DU CLUNISOIS,CH ,X02,Hépato-Gastro-Entérologie ,CH LES CHANAUX MACON,11
287,CH DU CLUNISOIS,CH ,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",CH LES CHANAUX MACON,12
288,CHIC AIN VAL DE SAONE - PONT VEYLE,CH ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH LES CHANAUX MACON,27
289,CHIC AIN VAL DE SAONE - PONT VEYLE,CH ,X08,Pneumologie ,CH LES CHANAUX MACON,16
290,CHIC AIN VAL DE SAONE - THOISSEY,CH ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH LES CHANAUX MACON,26
291,CHIC AIN VAL DE SAONE - THOISSEY,CH ,X08,Pneumologie ,CH LES CHANAUX MACON,15
292,CHIC AIN VAL DE SAONE - THOISSEY,CH ,X06,Rhumatologie ,CH LES CHANAUX MACON,13
293,CHIC AIN VAL DE SAONE - THOISSEY,CH ,X07,Affections Cardio-vasculaires,CH LES CHANAUX MACON,16
294,CHIC AIN VAL DE SAONE - THOISSEY,CH ,X05,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH LES CHANAUX MACON,11
295,CHIC AIN VAL DE SAONE - THOISSEY,CH ,X02,Hépato-Gastro-Entérologie ,CH LES CHANAUX MACON,18
296,CH DE PONT DE VAUX,CH ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH LES CHANAUX MACON,21
297,CH ALIGRE BOURBON LANCY,CH ,X06,Rhumatologie ,CH ALIGRE BOURBON LANCY,17
298,CH ALIGRE BOURBON LANCY,CH ,X05,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH ALIGRE BOURBON LANCY,17
299,CH ALIGRE BOURBON LANCY,CH ,X03,Neurologie médicale ,CH ALIGRE BOURBON LANCY,11
300,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH DU PAYS CHAROLAIS BRIONNAIS,70
301,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,X08,Pneumologie ,CH DU PAYS CHAROLAIS BRIONNAIS,72
302,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,X07,Affections Cardio-vasculaires,CH DU PAYS CHAROLAIS BRIONNAIS,66
303,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,X03,Neurologie médicale ,CH DU PAYS CHAROLAIS BRIONNAIS,49
304,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,X06,Rhumatologie ,CH DU PAYS CHAROLAIS BRIONNAIS,61
305,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,X05,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH DU PAYS CHAROLAIS BRIONNAIS,43
306,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,X02,Hépato-Gastro-Entérologie ,CH DU PAYS CHAROLAIS BRIONNAIS,48
307,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,X20 ,Psychiatrie ,CH DU PAYS CHAROLAIS BRIONNAIS,38
308,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,X24,"Médecine inter spécialités, 
Autres symptômes ou motifs médicaux",CH DU PAYS CHAROLAIS BRIONNAIS,30
309,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",CH DU PAYS CHAROLAIS BRIONNAIS,16
310,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,X12,Uro-Néphrologie médicale (hors Séances),CH DU PAYS CHAROLAIS BRIONNAIS,28
311,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,X18,"Affections et traumatismes de la peau, gelures",CH DU PAYS CHAROLAIS BRIONNAIS,27
312,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,C06,"Chir. Digestive majeure : oesophage, 
estomac, grêle, côlon, rectum",CH DU PAYS CHAROLAIS BRIONNAIS,18
313,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,X14,"Maladies immunitaires, du Sang, des Organes 
hématopoïétiques, Tumeurs SID",CH DU PAYS CHAROLAIS BRIONNAIS,16
314,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,X04,"Commotions cérébrales, Traumatismes crâniens",CH DU PAYS CHAROLAIS BRIONNAIS,14
315,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,X22,Douleur et soins palliatifs,CH DU PAYS CHAROLAIS BRIONNAIS,16
316,CH DU PAYS CHAROLAIS BRIONNAIS,CH ,X09 ,"ORL, Stomato ",CH DU PAYS CHAROLAIS BRIONNAIS,11
317,CH PAYS CHAROLAIS BRIONNAIS CHAROLLES,CH ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH DU PAYS CHAROLAIS BRIONNAIS,49
318,CH PAYS CHAROLAIS BRIONNAIS CHAROLLES,CH ,X08,Pneumologie ,CH DU PAYS CHAROLAIS BRIONNAIS,43
319,CH PAYS CHAROLAIS BRIONNAIS CHAROLLES,CH ,X07,Affections Cardio-vasculaires,CH DU PAYS CHAROLAIS BRIONNAIS,18
320,CH PAYS CHAROLAIS BRIONNAIS CHAROLLES,CH ,X03,Neurologie médicale ,CH DU PAYS CHAROLAIS BRIONNAIS,24
321,CH PAYS CHAROLAIS BRIONNAIS CHAROLLES,CH ,X06,Rhumatologie ,CH DU PAYS CHAROLAIS BRIONNAIS,14
322,CH PAYS CHAROLAIS BRIONNAIS CHAROLLES,CH ,X05,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH DU PAYS CHAROLAIS BRIONNAIS,18
323,CH PAYS CHAROLAIS BRIONNAIS CHAROLLES,CH ,X02,Hépato-Gastro-Entérologie ,CH DU PAYS CHAROLAIS BRIONNAIS,15
324,CH COSNE COURS SUR LOIRE,CH,X08,Pneumologie ,CH COSNE COURS SUR LOIRE,21
325,CH COSNE COURS SUR LOIRE,CH,X03,Neurologie médicale,CH COSNE COURS SUR LOIRE,14
326,CH COSNE COURS SUR LOIRE,CH,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL PIERRE BEREGOVOY,12
327,CH DECIZE,CH,X20 ,Psychiatrie ,CH DECIZE,36
328,CH DECIZE,CH,X07,Affections Cardio-vasculaires ,CH DECIZE,24
329,CH DECIZE,CH,X06,Rhumatologie ,CH DECIZE,28
330,CH DECIZE,CH,X03,Neurologie médicale ,CH DECIZE,13
331,CH DECIZE,CH,X08,Pneumologie ,CH DECIZE,19
332,CH DECIZE,CH,X15,"Diabète, Maladies métaboliques,
 Endocrinologie (hors complications)",CH DECIZE,18
333,CH DECIZE,CH,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL PIERRE BEREGOVOY,19
334,CLINEA,Privé,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL PIERRE BEREGOVOY,92
335,CLINEA,Privé,X03,Neurologie médicale ,HOPITAL PIERRE BEREGOVOY,14
336,CLINEA,Privé,X08,Pneumologie ,HOPITAL PIERRE BEREGOVOY,41
337,CLINEA,Privé,X07,Affections Cardio-vasculaires ,HOPITAL PIERRE BEREGOVOY,25
338,CLINEA,Privé,X02,Hépato-Gastro-Entérologie ,HOPITAL PIERRE BEREGOVOY,16
339,CLINEA,Privé,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",HOPITAL PIERRE BEREGOVOY,14
340,CLINEA,Privé,X06,Rhumatologie ,HOPITAL PIERRE BEREGOVOY,21
341,CLINEA,Privé,X05 ,"
Traumatologie et ablation de matériel de l'appareil locomoteur",HOPITAL PIERRE BEREGOVOY,16
342,CLINEA,Privé,X16,"Affections et traumatismes de la peau, gelures",HOPITAL PIERRE BEREGOVOY,11
343,CLINEA,Privé,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",POLYCLINIQUE DU VAL DE LOIRE,63
344,CLINEA,Privé,X22,Douleur et soins palliatifs ,POLYCLINIQUE DU VAL DE LOIRE,28
345,CRF PASORI,Privé ,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL PIERRE BEREGOVOY,33
346,CRF PASORI,Privé ,X03,Neurologie médicale ,HOPITAL PIERRE BEREGOVOY,32
347,CRF PASORI,Privé ,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",HOPITAL PIERRE BEREGOVOY,19
348,CRF PASORI,Privé ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",POLYCLINIQUE DU VAL DE LOIRE,68
349,CENTRE COLBERT MEDECINE ET SSR,CH,C09,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOPITAL PIERRE BEREGOVOY,23
350,CENTRE COLBERT MEDECINE ET SSR,CH,X03,Neurologie médicale ,HOPITAL PIERRE BEREGOVOY,14
351,CENTRE COLBERT MEDECINE ET SSR,CH,X08,Pneumologie ,HOPITAL PIERRE BEREGOVOY,27
352,CENTRE COLBERT MEDECINE ET SSR,CH,X07,Affections Cardio-vasculaires ,HOPITAL PIERRE BEREGOVOY,18
353,CENTRE COLBERT MEDECINE ET SSR,CH,X02,Hépato-Gastro-Entérologie ,HOPITAL PIERRE BEREGOVOY,20
354,CENTRE COLBERT MEDECINE ET SSR,CH,X20 ,Psychiatrie ,CENTRE COLBERT MEDECINE ET SSR,19
355,CENTRE COLBERT MEDECINE ET SSR,CH,X06,Rhumatologie ,CENTRE COLBERT MEDECINE ET SSR,16
356,HOPITAL PIERRE BEREGOVOY,CH ,X03,Neurologie médicale ,HOPITAL PIERRE BEREGOVOY,54
357,INSTITUT MEDICAL DE SOLOGNE,Privé ,X18,"Suivi thérap. d'affections connues, Allergologie,
 Rééducation, Convalescence",HOPITAL PIERRE BEREGOVOY,19
358,CH CHATEAU-CHINON,CH,X05 ,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH CHATEAU-CHINON,11
359,CROIX ROUGE FRANCAISE MIGENNES,PSPH/EBNL,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH SENS,60
360,CROIX ROUGE FRANCAISE MIGENNES,PSPH/EBNL,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",CH SENS,11
361,CROIX ROUGE FRANCAISE MIGENNES,PSPH/EBNL,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CLINIQUE PAUL PIQUET,23
362,HL R BONNION VILLENEUVE-SUR-YONNE,CH ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH SENS,42
363,HL R BONNION VILLENEUVE-SUR-YONNE,CH ,X08 ,Pneumologie ,CH SENS,22
364,HL R BONNION VILLENEUVE-SUR-YONNE,CH ,X07 ,Affections Cardio-vasculaires ,CH SENS,16
365,HL R BONNION VILLENEUVE-SUR-YONNE,CH ,X06,Rhumatologie ,CH SENS,13
366,HL R BONNION VILLENEUVE-SUR-YONNE,CH ,X02 ,Hépato-Gastro-Entérologie ,CH SENS,11
367,MOYEN SEJOUR CH SENS,CH ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH SENS,25
368,MOYEN SEJOUR CH SENS,CH ,X08 ,Pneumologie ,CH SENS,66
369,MOYEN SEJOUR CH SENS,CH ,X03,Neurologie médicale,CH SENS,24
370,MOYEN SEJOUR CH SENS,CH ,X07 ,Affections Cardio-vasculaires ,CH SENS,19
371,MOYEN SEJOUR CH SENS,CH ,X06,Rhumatologie ,CH SENS,21
372,MOYEN SEJOUR CH SENS,CH ,X20 ,Psychiatrie ,CH SENS,35
373,MOYEN SEJOUR CH SENS,CH ,X02 ,Hépato-Gastro-Entérologie ,CH SENS,12
374,MOYEN SEJOUR CH SENS,CH ,X05 ,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH SENS,13
375,MOYEN SEJOUR CH SENS,CH ,X12,Uro-Néphrologie médicale (hors Séances),CH SENS,18
376,MOYEN SEJOUR CH SENS,CH ,X16,"Affections et traumatismes de la peau, gelures",CH SENS,14
377,CRF INSTITUT ASCLEPIADE,Privé ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH SENS,22
378,CRF INSTITUT ASCLEPIADE,Privé ,X03,Neurologie médicale,CH SENS,12
379,CRF INSTITUT ASCLEPIADE,Privé ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CLINIQUE PAUL PIQUET,12
380,MAISON DE REPOS STE COLOMBE,Privé ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH SENS,20
381,MAISON DE REPOS STE COLOMBE,Privé ,X08 ,Pneumologie ,CH SENS,23
382,MAISON DE REPOS STE COLOMBE,Privé ,X03,Neurologie médicale,CH SENS,19
383,MAISON DE REPOS STE COLOMBE,Privé ,X07 ,Affections Cardio-vasculaires ,CH SENS,25
384,MAISON DE REPOS STE COLOMBE,Privé ,X06,Rhumatologie ,CH SENS,22
385,MAISON DE REPOS STE COLOMBE,Privé ,X20 ,Psychiatrie ,CH SENS,11
386,MAISON DE REPOS STE COLOMBE,Privé ,X02 ,Hépato-Gastro-Entérologie ,CH SENS,19
387,MAISON DE REPOS STE COLOMBE,Privé ,C11,"Chirurgies autres de l'appareil locomoteur, 
amputations",CH SENS,12
388,MAISON DE REPOS STE COLOMBE,Privé ,X05 ,"
Traumatologie et ablation de matériel de l'appareil locomoteur",CH SENS,16
389,MAISON DE REPOS STE COLOMBE,Privé ,X12,Uro-Néphrologie médicale (hors Séances),CH SENS,15
390,CH JOIGNY,CH ,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CH SENS,21
391,CH JOIGNY,CH ,X08 ,Pneumologie ,CH JOIGNY,19
392,CH JOIGNY,CH ,X07 ,Affections Cardio-vasculaires ,CH JOIGNY,31
393,CH JOIGNY,CH ,X06,Rhumatologie ,CH JOIGNY,21
394,CH JOIGNY,CH ,X03,Neurologie médicale,CH JOIGNY,16
395,POLYCLINIQUE STE MARGUERITE,Privé,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",POLYCLINIQUE STE MARGUERITE,106
396,POLYCLINIQUE STE MARGUERITE,Privé,C11,"Chirurgies autres de l'appareil locomoteur, amputations",POLYCLINIQUE STE MARGUERITE,19
397,HOPITAL PRIVE SAINTE MARIE,Privé,X22,Douleur et soins palliatifs ,HOPITAL PRIVE SAINTE MARIE,21
398,HOPITAL PRIVE SAINTE MARIE,Privé,X08,Pneumologie ,HOPITAL PRIVE SAINTE MARIE,13
399,HOPITAL PRIVE SAINTE MARIE,Privé,X24,"Médecine inter spécialités, Autres symptômes ou motifs médicaux",HOPITAL PRIVE SAINTE MARIE,14
400,HOPITAL PRIVE SAINTE MARIE,Privé,X07 ,Affections Cardio-vasculaires ,HOPITAL PRIVE SAINTE MARIE,12
401,POLYCLINIQUE DU VAL DE SAONE,Privé,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",POLYCLINIQUE DU VAL DE SAONE,94
402,POLYCLINIQUE DU VAL DE SAONE,Privé,C02,"Chirurgie du rachis, Neuro-chirurgie",POLYCLINIQUE DU VAL DE SAONE,32
403,POLYCLINIQUE DU VAL DE SAONE,Privé,C06,"Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum",POLYCLINIQUE DU VAL DE SAONE,15
404,POLYCLINIQUE DU VAL DE SAONE,Privé,C07,"Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies",POLYCLINIQUE DU VAL DE SAONE,14
405,CLINIQUE DU MORVAN SA,Privé,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CLINIQUE DU PARC,55
406,CH LES MARRONNIERS,CH,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CLINIQUE DU PARC,32
407,CMPR L'A.D.A.P.T. LOIRET,PSPH/EBNL,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",CLINIQUE PAUL PIQUET,36
408,HOTEL-DIEU DU CREUSOT,PSPH/EBNL,C09 ,"Chir. majeure de l'app. Locomoteur:
 hanche, fémur, genou, épaule",HOTEL-DIEU DU CREUSOT,24
409,HOTEL-DIEU DU CREUSOT,PSPH/EBNL,X08,Pneumologie ,HOTEL-DIEU DU CREUSOT,22
410,HOTEL-DIEU DU CREUSOT,PSPH/EBNL,X05,Traumatologie et ablation de matériel de l'appareil locomoteur,HOTEL-DIEU DU CREUSOT,19
411,HOTEL-DIEU DU CREUSOT,PSPH/EBNL,X06,Rhumatologie ,HOTEL-DIEU DU CREUSOT,19
412,HOTEL-DIEU DU CREUSOT,PSPH/EBNL,X07 ,Affections Cardio-vasculaires,HOTEL-DIEU DU CREUSOT,19
413,HOTEL-DIEU DU CREUSOT,PSPH/EBNL,X03,Neurologie médicale,HOTEL-DIEU DU CREUSOT,11
