Nom_GHT;Etablissement;Rang;Code;Groupe Plannification;Nb séjour / Séances;Nb de jours;Age moyen;% Age>75;% lourd;Transferts SSR (Nombre de séjours chainés et tranférés vers un établissement SSR) ;Etablissement SSR de transfert ;Catégorie ;Nb de transferts;is_in_GHT;transfer_interne
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";2;X08;Pneumologie;398;4125;87.0;97.0;80.65;132;CH REG UNIVERSITAIRE DIJON ;CHR/U ;90;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";2;X08;Pneumologie;398;4125;87.0;97.0;80.65;132;Autres ES Effectif<11;;42;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";4;X07;Affections Cardio-vasculaires;250;2773;88.5;98.8;85.60;115;CH REG UNIVERSITAIRE DIJON ;CHR/U ;68;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";4;X07;Affections Cardio-vasculaires;250;2773;88.5;98.8;85.60;115;SSR EDITH CAVELL;Privé ;22;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";4;X07;Affections Cardio-vasculaires;250;2773;88.5;98.8;85.60;115;Autres ES Effectif<11;;25;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";1;X20;Psychiatrie;526;1956;84.4;91.3;27.00;100;CH REG UNIVERSITAIRE DIJON ;CHR/U ;59;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";1;X20;Psychiatrie;526;1956;84.4;91.3;27.00;100;SSR EDITH CAVELL;Privé ;23;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";1;X20;Psychiatrie;526;1956;84.4;91.3;27.00;100;Autres ES Effectif<11;;18;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";3;X03;Neurologie médicale;327;1641;85.3;94.2;32.42;73;CH REG UNIVERSITAIRE DIJON ;CHR/U ;49;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";3;X03;Neurologie médicale;327;1641;85.3;94.2;32.42;73;SSR EDITH CAVELL;Privé ;14;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";3;X03;Neurologie médicale;327;1641;85.3;94.2;32.42;73;Autres ES Effectif<11;;0 à 10 (10);1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";6;X06;Rhumatologie;102;1174;87.3;97.1;83.33;58;CH REG UNIVERSITAIRE DIJON ;CHR/U ;36;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";6;X06;Rhumatologie;102;1174;87.3;97.1;83.33;58;SSR EDITH CAVELL;Privé ;12;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";6;X06;Rhumatologie;102;1174;87.3;97.1;83.33;58;Autres ES Effectif<11;;0 à 10 (10);1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";5;X02;Hépato-Gastro-Entérologie;174;1930;87.2;98.9;80.46;53;CH REG UNIVERSITAIRE DIJON ;CHR/U ;34;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";5;X02;Hépato-Gastro-Entérologie;174;1930;87.2;98.9;80.46;53;Autres ES Effectif<11;;19;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";8;X12;Uro-Néphrologie médicale (hors Séances);88;1006;87.8;98.9;88.64;29;CH REG UNIVERSITAIRE DIJON ;CHR/U ;21;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";8;X12;Uro-Néphrologie médicale (hors Séances);88;1006;87.8;98.9;88.64;29;Autres ES Effectif<11;;0 à 10 (8);1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";7;X14;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;101;870;87.4;98.0;53.47;25;CH REG UNIVERSITAIRE DIJON ;CHR/U ;13;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";7;X14;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;101;870;87.4;98.0;53.47;25;Autres ES Effectif<11;;12;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";9;X15;Diabète, Maladies métaboliques, Endocrinologie (hors complications);56;537;86.5;94.6;75.00;19;Autres ES Effectif<11;;19;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";10;X05;Traumatologie et ablation de matériel de l'appareil locomoteur;31;268;89.5;100.0;77.42;16;Autres ES Effectif<11;;16;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";11;X16;Affections et traumatismes de la peau, gelures;29;374;90.0;96.6;89.66;11;Autres ES Effectif<11;;16;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";13;X21;Effets nocifs, alcool, toxicologie, allergies;21;233;85.7;95.2;90.48;11;Autres ES Effectif<11;;11;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";12;S05;Transfusion;27;0;89.5;96.3;0.00;NA;;;;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";14;X24;Médecine inter spécialités, Autres symptômes ou motifs médicaux;21;43;84.1;95.2;4.76;0 à 10;;;;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";15;X09;ORL, Stomato;18;151;86.0;100.0;72.22;0 à 10;;;;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";16;X13;Appareil génital masculin;17;205;88.3;94.1;94.12;0 à 10;;;;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";17;X04;Commotions cérébrales, Traumatismes crâniens;16;173;87.8;93.8;75.00;0 à 10;;;;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";18;X11;Gynécologie, Sénologie (hors Obstétrique);14;186;87.2;92.9;71.43;0 à 10;;;;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";19;X18;Suivi thérap. d'affections connues, Allergologie, Rééducation, Convalescence;13;45;87.3;100.0;30.77;0 à 10;;;;1;1
GHT Côte d'Or - Haute Marne;"	CH REG UNIVERSITAIRE DIJON ";20;X19;Fièvre, Infection, Septicémie, VIH;13;156;86.4;92.3;84.62;0 à 10;;;;1;1
GHT Côte d'Or - Haute Marne;"	CH LA CHARTREUSE DIJON";1;X21;Effets nocifs, alcool, toxicologie, allergies;193;4057;44.2;0.0;35.23;37;CSSR LE RENOUVEAU ;Privé ;12;1;1
GHT Côte d'Or - Haute Marne;"	CH LA CHARTREUSE DIJON";1;X21;Effets nocifs, alcool, toxicologie, allergies;193;4057;44.2;0.0;35.23;37;Autres ES Effectif<11;;25;1;1
GHT Côte d'Or - Haute Marne;"	CH LA CHARTREUSE DIJON";2;X24;Médecine inter spécialités, Autres symptômes ou motifs médicaux;129;252;46.0;3.9;0.00;0 à 10;;;;1;1
GHT Côte d'Or - Haute Marne;"	CH LA CHARTREUSE DIJON";3;K12;Explorations nocturnes, séjours de moins de 2 jours;51;51;50.9;3.9;0.00;0 à 10;;;;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";35;C09;Chir. majeure de l'app. Locomoteur: hanche, fémur, genou, épaule;871;5604;72.5;47.1;14.35;384;HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;86;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";35;C09;Chir. majeure de l'app. Locomoteur: hanche, fémur, genou, épaule;871;5604;72.5;47.1;14.35;384;C.R.B LES ROSIERS ;Privé ;74;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";35;C09;Chir. majeure de l'app. Locomoteur: hanche, fémur, genou, épaule;871;5604;72.5;47.1;14.35;384;CENTRE DE CONVALESCENCE ;Privé ;55;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";35;C09;Chir. majeure de l'app. Locomoteur: hanche, fémur, genou, épaule;871;5604;72.5;47.1;14.35;384;CRF DIVIO ;Privé ;46;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";35;C09;Chir. majeure de l'app. Locomoteur: hanche, fémur, genou, épaule;871;5604;72.5;47.1;14.35;384;SSR EDITH CAVEL ;Privé ;30;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";35;C09;Chir. majeure de l'app. Locomoteur: hanche, fémur, genou, épaule;871;5604;72.5;47.1;14.35;384;SA MAISON DE JOUVENCE ;Privé ;16;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";35;C09;Chir. majeure de l'app. Locomoteur: hanche, fémur, genou, épaule;871;5604;72.5;47.1;14.35;384;Autres ES Effectif<11;;77;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";4;X08;Pneumologie;5157;30308;57.7;28.2;30.58;272;HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;67;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";4;X08;Pneumologie;5157;30308;57.7;28.2;30.58;272;CENTRE DE CONVALESCENCE ;Privé ;46;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";4;X08;Pneumologie;5157;30308;57.7;28.2;30.58;272;SSR EDITH CAVEL ;Privé ;37;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";4;X08;Pneumologie;5157;30308;57.7;28.2;30.58;272;SA MAISON DE JOUVENCE ;Privé ;34;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";4;X08;Pneumologie;5157;30308;57.7;28.2;30.58;272;C.R.B LES ROSIERS ;Privé ;22;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";4;X08;Pneumologie;5157;30308;57.7;28.2;30.58;272;CH D'AUXONNE;CH ;12;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";4;X08;Pneumologie;5157;30308;57.7;28.2;30.58;272;CRF DIVIO ;Privé ;12;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";4;X08;Pneumologie;5157;30308;57.7;28.2;30.58;272;Autres ES Effectif<11;;42;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";6;X03;Neurologie médicale;4382;17348;56.0;21.4;15.93;218;HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;85;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";6;X03;Neurologie médicale;4382;17348;56.0;21.4;15.93;218;CRF DIVIO ;Privé ;43;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";6;X03;Neurologie médicale;4382;17348;56.0;21.4;15.93;218;SA MAISON DE JOUVENCE ;Privé ;15;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";6;X03;Neurologie médicale;4382;17348;56.0;21.4;15.93;218;SSR EDITH CAVEL ;Privé ;15;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";6;X03;Neurologie médicale;4382;17348;56.0;21.4;15.93;218;CENTRE DE CONVALESCENCE ;Privé ;13;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";6;X03;Neurologie médicale;4382;17348;56.0;21.4;15.93;218;Autres ES Effectif<11;;47;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";20;C11;Chirurgies autres de l'appareil locomoteur, amputations;1943;8016;46.2;11.9;17.55;183;HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;43;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";20;C11;Chirurgies autres de l'appareil locomoteur, amputations;1943;8016;46.2;11.9;17.55;183;C.R.B LES ROSIERS ;Privé ;26;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";20;C11;Chirurgies autres de l'appareil locomoteur, amputations;1943;8016;46.2;11.9;17.55;183;CRF DIVIO ;Privé ;23;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";20;C11;Chirurgies autres de l'appareil locomoteur, amputations;1943;8016;46.2;11.9;17.55;183;SA MAISON DE JOUVENCE ;Privé ;16;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";20;C11;Chirurgies autres de l'appareil locomoteur, amputations;1943;8016;46.2;11.9;17.55;183;CENTRE DE CONVALESCENCE ;Privé ;13;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";20;C11;Chirurgies autres de l'appareil locomoteur, amputations;1943;8016;46.2;11.9;17.55;183;Autres ES Effectif<11;;62;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";24;C02;Chirurgie du rachis, Neuro-chirurgie;1388;9924;58.9;17.7;20.46;150;HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;33;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";24;C02;Chirurgie du rachis, Neuro-chirurgie;1388;9924;58.9;17.7;20.46;150;CRF DIVIO ;Privé ;24;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";24;C02;Chirurgie du rachis, Neuro-chirurgie;1388;9924;58.9;17.7;20.46;150;SA MAISON DE JOUVENCE ;Privé ;17;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";24;C02;Chirurgie du rachis, Neuro-chirurgie;1388;9924;58.9;17.7;20.46;150;Autres ES Effectif<11;;76;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";36;C04;Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens;812;9913;66.0;18.7;40.39;124;SSR MARGUERITE BOUCICAUT ;Privé ;39;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";36;C04;Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens;812;9913;66.0;18.7;40.39;124;HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;37;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";36;C04;Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens;812;9913;66.0;18.7;40.39;124;CH HCO SITE DE MONTBARD;CH ;12;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";36;C04;Chir. cardio-thoracique (hors transplant. d'organe), Pontages aorto-coronariens;812;9913;66.0;18.7;40.39;124;Autres ES Effectif<11;;36;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";18;X06;Rhumatologie;2099;7841;60.6;26.9;16.77;115;CENTRE DE CONVALESCENCE ;Privé ;22;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";18;X06;Rhumatologie;2099;7841;60.6;26.9;16.77;115;SSR EDITH CAVEL ;Privé ;20;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";18;X06;Rhumatologie;2099;7841;60.6;26.9;16.77;115;HÔPITAL LE BOCAGE CHRU DIJON;CHR/U ;15;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";18;X06;Rhumatologie;2099;7841;60.6;26.9;16.77;115;C.R.B LES ROSIERS ;Privé ;13;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";18;X06;Rhumatologie;2099;7841;60.6;26.9;16.77;115;Autres ES Effectif<11;;45;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";13;X07;Affections Cardio-vasculaires;2682;10923;66.7;40.0;18.46;113;CENTRE DE CONVALESCENCE;Privé;28;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";13;X07;Affections Cardio-vasculaires;2682;10923;66.7;40.0;18.46;113;SSR EDITH CAVELL;Privé;26;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";13;X07;Affections Cardio-vasculaires;2682;10923;66.7;40.0;18.46;113;SA MAISON DE JOUVENCE;Privé;22;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";13;X07;Affections Cardio-vasculaires;2682;10923;66.7;40.0;18.46;113;HÔPITAL LE BOCAGE CHRU DIJON;CHR/U;18;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";13;X07;Affections Cardio-vasculaires;2682;10923;66.7;40.0;18.46;113;Autres ES Effectif<11;;1;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";5;X02;Hépato-Gastro-Entérologie;4894;16769;56.8;21.0;15.53;110;SSR EDITH CAVELL;Privé;23;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";5;X02;Hépato-Gastro-Entérologie;4894;16769;56.8;21.0;15.53;110;CENTRE DE CONVALESCENCE;Privé;17;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";5;X02;Hépato-Gastro-Entérologie;4894;16769;56.8;21.0;15.53;110;SA MAISON DE JOUVENCE;Privé;14;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";5;X02;Hépato-Gastro-Entérologie;4894;16769;56.8;21.0;15.53;110;CH D'IS-SUR-TILLE;CH;11;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";5;X02;Hépato-Gastro-Entérologie;4894;16769;56.8;21.0;15.53;110;Autres ES Effectif<11;;45;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";7;K05;Cathétérismes vasculaires diagnostiques et interventionnels;4169;13964;66.5;27.2;7.72;81;HÔPITAL LE BOCAGE CHRU DIJON;CHR/U;25;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";7;K05;Cathétérismes vasculaires diagnostiques et interventionnels;4169;13964;66.5;27.2;7.72;81;Autres ES Effectif<11;;56;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";19;X12;Uro-Néphrologie médicale (hors Séances);1952;5687;60.3;31.6;17.37;74;A MAISON DE JOUVENCE;Privé;13;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";19;X12;Uro-Néphrologie médicale (hors Séances);1952;5687;60.3;31.6;17.37;74;SSR EDITH CAVELL;Privé;13;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";19;X12;Uro-Néphrologie médicale (hors Séances);1952;5687;60.3;31.6;17.37;74;CENTRE DE CONVALESCENCE;Privé;12;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";19;X12;Uro-Néphrologie médicale (hors Séances);1952;5687;60.3;31.6;17.37;74;HÔPITAL LE BOCAGE CHRU DIJON;CHR/U;12;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";19;X12;Uro-Néphrologie médicale (hors Séances);1952;5687;60.3;31.6;17.37;74;Autres ES Effectif<11;;24;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";41;C06;Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum;575;7163;57.9;22.8;53.91;71;SSR EDITH CAVELL;Privé;23;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";41;C06;Chir. Digestive majeure : oesophage, estomac, grêle, côlon, rectum;575;7163;57.9;22.8;53.91;71;Autres ES Effectif<11;;48;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";43;X05;Traumatologie et ablation de matériel de l'appareil locomoteur;514;1372;55.0;37.9;8.95;57;CENTRE DE CONVALESCENCE;Privé;17;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";43;X05;Traumatologie et ablation de matériel de l'appareil locomoteur;514;1372;55.0;37.9;8.95;57;Autres ES Effectif<11;;40;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";45;C14;Chirurgie vasculaire;493;4558;68.1;27.0;36.31;54;HÔPITAL LE BOCAGE CHRU DIJON;CHR/U;12;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";45;C14;Chirurgie vasculaire;493;4558;68.1;27.0;36.31;54;Autres ES Effectif<11;;42;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";11;X14;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;3106;10101;60.8;21.9;12.69;50;CENTRE DE CONVALESCENCE;Privé;13;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";11;X14;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;3106;10101;60.8;21.9;12.69;50;SSR EDITH CAVELL;Privé;12;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";11;X14;Maladies immunitaires, du Sang, des Organes hématopoïétiques, Tumeurs SID;3106;10101;60.8;21.9;12.69;50;Autres ES Effectif<11;;2;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";16;X21;Effets nocifs, alcool, toxicologie, allergies;2534;4608;43.0;2.3;4.10;43;Autres ES Effectif<11;;43;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";40;C05;Chir. majeure sur le thorax, l'app. respiratoire, interventions sous thoracoscopie;582;5651;59.6;12.4;27.32;41;CENTRE MÉDICAL LA GRANGE/MONT;PSPH/EBNL;14;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";40;C05;Chir. majeure sur le thorax, l'app. respiratoire, interventions sous thoracoscopie;582;5651;59.6;12.4;27.32;41;Autres ES Effectif<11;;27;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";15;X16;Affections et traumatismes de la peau, gelures;2677;4669;64.9;36.2;10.72;37;Autres ES Effectif<11;;37;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";62;C12;Traumatismes multiples graves;97;1761;45.3;11.3;53.61;37;CRF DIVIO;Privé;14;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";62;C12;Traumatismes multiples graves;97;1761;45.3;11.3;53.61;37;Autres ES Effectif<11;;23;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";30;C07;Chir. Viscérale autre : rate, grêle, colon, proctologie, hernies;984;3514;41.1;10.0;12.20;35;Autres ES Effectif<11;;35;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";17;X15;Diabète, Maladies métaboliques, Endocrinologie (hors complications);2228;6300;42.0;12.0;13.06;31;Autres ES Effectif<11;;31;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";31;C19;Chirurgie Urologique;970;4029;58.4;21.9;17.53;30;Autres ES Effectif<11;;30;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";37;C25;Chirurgie inter spécialités;776;3130;56.0;26.0;15.46;28;Autres ES Effectif<11;;28;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";12;X24;Médecine inter spécialités, Autres symptômes ou motifs médicaux;2961;2981;56.0;19.5;1.01;27;Autres ES Effectif<11;;27;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";25;C17;Chirurgie Gynécologique;1379;2074;42.8;3.8;2.25;24;Autres ES Effectif<11;;24;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";28;X20;Psychiatrie;1070;3491;36.2;16.8;7.29;24;Autres ES Effectif<11;;24;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";27;X23;Chimiothérapie (hors séances);1176;6033;53.2;14.4;16.58;19;Autres ES Effectif<11;;19;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";38;X19;Fièvre, Infection, Septicémie, VIH;714;2265;50.6;12.6;13.73;18;Autres ES Effectif<11;;18;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";50;C13;Stimulateurs, Défibrillateurs cardiaques;416;1396;73.7;50.5;7.93;16;Autres ES Effectif<11;;16;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";33;X04;Commotions cérébrales, Traumatismes crâniens;892;1254;61.3;46.0;4.04;14;Autres ES Effectif<11;;14;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";49;C08;Chir. hépato-biliaire et pancréatique;439;2709;57.2;14.8;22.78;14;Autres ES Effectif<11;;14;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";53;C23;Parages de plaies, Greffes de peau, des Tissus S/C;316;1058;54.4;26.6;8.23;11;Autres ES Effectif<11;;11;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";1;S02;Chimiothérapie pour tumeur;18267;0;65.5;25.2;0.00;NA;;;;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";2;S01;Dialyse;16268;0;64.2;28.5;0.00;NA;;;;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";3;S03;Chimiothérapie pour aff. Non tumorale;5167;0;46.3;6.5;0.00;NA;;;;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";8;C16;Chirurgie Ophtalmologique et greffe de cornée;3441;602;69.0;37.0;0.41;0 à 10;;;;1;1
GHT Côte d'Or - Haute Marne;"	HÔPITAL LE BOCAGE CHRU DIJON";9;N02;Aff. médicales des nouveau-nés, prématurés et de la période périnatale;3322;19952;0.0;0.0;4.24;0 à 10;;;;1;1
